hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 56,Cuadro 56,,,,,,,,
cuadro 56,"Fallecidos por atropello en accidentes de tránsito ocurridos en la República de Guatemala, por día de la semana, según departamento.",,,,,,,,
cuadro 56,Año 2024.,,,,,,,,
cuadro 56,Departamento,Total,Día de la semana,,,,,,
cuadro 56,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 56,Total,629,79,65,72,63,98,108,144
cuadro 56,Guatemala,160,23,12,19,22,26,26,32
cuadro 56,El Progreso,12,1,0,2,2,3,1,3
cuadro 56,Sacatepéquez,20,2,2,5,3,4,2,2
cuadro 56,Chimaltenango,55,5,5,11,7,11,6,10
cuadro 56,Escuintla,59,4,10,3,6,14,10,12
cuadro 56,Santa Rosa,24,5,2,3,0,5,6,3
cuadro 56,Sololá,8,3,0,0,1,0,1,3
cuadro 56,Totonicapán,2,0,0,1,0,1,0,0
cuadro 56,Quetzaltenango,24,8,3,5,3,1,1,3
cuadro 56,Suchitepéquez,15,5,0,2,2,3,1,2
cuadro 56,Retalhuleu,9,1,2,1,0,2,1,2
cuadro 56,San Marcos,14,1,1,1,0,2,1,8
cuadro 56,Huehuetenango,14,0,4,0,3,3,2,2
cuadro 56,Quiché,15,2,3,0,1,1,3,5
cuadro 56,Baja Verapaz,14,1,4,1,0,2,1,5
cuadro 56,Alta Verapaz,41,4,5,8,2,6,6,10
cuadro 56,Petén,50,5,4,3,6,4,11,17
cuadro 56,Izabal,39,2,6,4,2,2,11,12
cuadro 56,Zacapa,11,0,0,0,0,3,3,5
cuadro 56,Chiquimula,11,1,1,0,2,3,4,0
cuadro 56,Jalapa,10,2,0,2,0,1,3,2
cuadro 56,Jutiapa,22,4,1,1,1,1,8,6
