hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 5,Cuadro 5,,,,,,,,
cuadro 5,"Accidentes de tránsito ocurridos en la República de Guatemala, por día de la semana, según mes.",,,,,,,,
cuadro 5,Año 2024.,,,,,,,,
cuadro 5,Mes de ocurrencia,Total,Día de la semana,,,,,,
cuadro 5,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 5,Total,8401,1141,970,910,981,1182,1615,1602
cuadro 5,Enero,626,107,69,69,80,72,129,100
cuadro 5,Febrero,711,81,89,74,109,92,139,127
cuadro 5,Marzo,780,109,89,74,80,123,146,159
cuadro 5,Abril,630,97,87,73,64,76,115,118
cuadro 5,Mayo,674,94,58,92,74,128,114,114
cuadro 5,Junio,549,57,62,50,70,66,100,144
cuadro 5,Julio,703,105,104,83,76,89,116,130
cuadro 5,Agosto,687,82,66,65,104,105,149,116
cuadro 5,Septiembre,686,93,65,67,64,104,132,161
cuadro 5,Octubre,747,86,103,90,92,101,146,129
cuadro 5,Noviembre,768,95,73,87,77,132,164,140
cuadro 5,Diciembre,840,135,105,86,91,94,165,164
