hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5
cuadro 17,Cuadro 17,,,,,
cuadro 17,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por año, según departamento.",,,,,
cuadro 17,Serie histórica 2020 -2024.,,,,,
cuadro 17,Departamento,Año de ocurrencia,,,,
cuadro 17,,2020,2021,2022,2023,2024
cuadro 17,Total,10103,12796,12239,12197,13045
cuadro 17,Guatemala,4307,5352,5177,5110,5290
cuadro 17,El Progreso,198,271,231,251,297
cuadro 17,Sacatepéquez,323,438,503,471,574
cuadro 17,Chimaltenango,338,452,444,432,440
cuadro 17,Escuintla,718,986,1097,1369,1696
cuadro 17,Santa Rosa,314,370,373,411,372
cuadro 17,Sololá,116,161,96,99,106
cuadro 17,Totonicapán,76,115,125,53,77
cuadro 17,Quetzaltenango,323,407,373,371,363
cuadro 17,Suchitepéquez,324,375,364,300,313
cuadro 17,Retalhuleu,340,361,372,315,300
cuadro 17,San Marcos,240,302,211,282,226
cuadro 17,Huehuetenango,165,236,176,200,211
cuadro 17,Quiché,160,290,240,179,231
cuadro 17,Baja Verapaz,153,212,201,212,267
cuadro 17,Alta Verapaz,470,580,528,506,544
cuadro 17,Petén,312,396,350,355,381
cuadro 17,Izabal,344,379,366,354,425
cuadro 17,Zacapa,234,261,246,220,198
cuadro 17,Chiquimula,204,253,205,176,208
cuadro 17,Jalapa,186,230,189,184,167
cuadro 17,Jutiapa,258,369,372,347,359
