hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
cuadro 25,Cuadro 25,,,,,,,,,,,,,,,
cuadro 25,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por sexo y condición del conductor, según hora.",,,,,,,,,,,,,,,
cuadro 25,Año 2024.,,,,,,,,,,,,,,,
cuadro 25,Hora de ocurrencia,Total,Hombre,Mujer,Ignorado,Condición del conductor,,,,,,,,,,
cuadro 25,,,,,,No ebrio,,,,Ebrio,,,Ignorado,,,
cuadro 25,,,,,,Total,Hombre,Mujer,Ignorado,Total,Hombre,Mujer,Total,Hombre,Mujer,Ignorado
cuadro 25,Total,13045,11751,983,311,505,444,60,1,495,478,17,12045,10829,906,310
cuadro 25,00:00 a 00:59,875,801,52,22,32,28,4,0,31,29,2,812,744,46,22
cuadro 25,01:00 a 01:59,446,405,30,11,13,12,1,0,26,25,1,407,368,28,11
cuadro 25,02:00 a 02:59,335,305,22,8,16,13,3,0,18,16,2,301,276,17,8
cuadro 25,03:00 a 03:59,235,210,17,8,11,11,0,0,12,12,0,212,187,17,8
cuadro 25,04:00 a 04:59,175,164,8,3,11,10,1,0,13,13,0,151,141,7,3
cuadro 25,05:00 a 05:59,316,289,22,5,12,10,2,0,14,12,2,290,267,18,5
cuadro 25,06:00 a 06:59,372,331,29,12,12,11,1,0,8,8,0,352,312,28,12
cuadro 25,07:00 a 07:59,452,420,23,9,14,13,1,0,6,6,0,432,401,22,9
cuadro 25,08:00 a 08:59,378,326,31,21,16,14,2,0,7,7,0,355,305,29,21
cuadro 25,09:00 a 09:59,419,369,37,13,14,12,2,0,12,11,1,393,346,34,13
cuadro 25,10:00 a 10:59,371,325,39,7,15,13,2,0,3,3,0,353,309,37,7
cuadro 25,11:00 a 11:59,461,394,56,11,20,16,4,0,7,7,0,434,371,52,11
cuadro 25,12:00 a 12:59,438,401,30,7,24,24,0,0,19,19,0,395,358,30,7
cuadro 25,13:00 a 13:59,500,448,46,6,23,16,7,0,11,11,0,466,421,39,6
cuadro 25,14:00 a 14:59,537,483,43,11,33,31,2,0,17,17,0,487,435,41,11
cuadro 25,15:00 a 15:59,518,469,38,11,19,16,3,0,14,14,0,485,439,35,11
cuadro 25,16:00 a 16:59,572,514,48,10,34,30,3,1,27,27,0,511,457,45,9
cuadro 25,17:00 a 17:59,775,689,68,18,32,27,5,0,19,18,1,724,644,62,18
cuadro 25,18:00 a 18:59,799,721,65,13,33,29,4,0,34,33,1,732,659,60,13
cuadro 25,19:00 a 19:59,1002,905,74,23,34,30,4,0,49,48,1,919,827,69,23
cuadro 25,20:00 a 20:59,915,836,58,21,30,27,3,0,45,42,3,840,767,52,21
cuadro 25,21:00 a 21:59,842,751,68,23,25,24,1,0,40,39,1,777,688,66,23
cuadro 25,22:00 a 22:59,659,599,41,19,15,12,3,0,36,34,2,608,553,36,19
cuadro 25,23:00 a 23:59,651,596,37,18,17,15,2,0,27,27,0,607,554,35,18
cuadro 25,Ignorado,2,0,1,1,0,0,0,0,0,0,0,2,0,1,1
