hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 49,Cuadro 49,,,,,,,,
cuadro 49,"Fallecidos en accidentes de tránsito ocurridos en la República de Guatemala, por día de la semana, según departamento.",,,,,,,,
cuadro 49,Año 2024.,,,,,,,,
cuadro 49,Departamento,Total,Día de la semana,,,,,,
cuadro 49,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 49,Total,2365,303,249,248,256,350,459,500
cuadro 49,Guatemala,575,70,49,52,63,100,130,111
cuadro 49,El Progreso,62,7,6,6,8,9,14,12
cuadro 49,Sacatepéquez,94,13,10,13,11,11,19,17
cuadro 49,Chimaltenango,134,16,14,21,14,24,20,25
cuadro 49,Escuintla,296,34,32,32,39,48,47,64
cuadro 49,Santa Rosa,96,14,14,9,9,14,21,15
cuadro 49,Sololá,26,3,4,7,3,0,4,5
cuadro 49,Totonicapán,14,0,6,2,1,2,0,3
cuadro 49,Quetzaltenango,71,15,5,10,9,15,8,9
cuadro 49,Suchitepéquez,84,10,4,9,8,14,27,12
cuadro 49,Retalhuleu,55,10,5,7,5,7,9,12
cuadro 49,San Marcos,51,10,5,2,5,8,8,13
cuadro 49,Huehuetenango,44,5,7,4,5,5,11,7
cuadro 49,Quiché,58,11,10,6,2,10,8,11
cuadro 49,Baja Verapaz,47,4,9,5,2,5,8,14
cuadro 49,Alta Verapaz,124,16,18,15,11,17,23,24
cuadro 49,Petén,157,22,15,14,16,16,28,46
cuadro 49,Izabal,136,12,19,12,13,16,25,39
cuadro 49,Zacapa,64,7,3,6,8,12,14,14
cuadro 49,Chiquimula,44,7,3,1,7,4,10,12
cuadro 49,Jalapa,44,5,1,6,6,5,9,12
cuadro 49,Jutiapa,89,12,10,9,11,8,16,23
