hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
cuadro 20,Cuadro 20,,,,,,,,,,
cuadro 20,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por tipo de accidente, según modelo de vehículo.",,,,,,,,,,
cuadro 20,Año 2024.,,,,,,,,,,
cuadro 20,Modelo de vehículo,Total,Tipo de accidente,,,,,,,,
cuadro 20,,,Colisión,Atropello,Derrape,Choque,Vuelco,Embarrancó,Encunetó,Caída,Ignorado
cuadro 20,Total,13045,9087,2073,1219,437,144,78,3,1,3
cuadro 20,1970-1979,6,5,1,0,0,0,0,0,0,0
cuadro 20,1980-1989,109,87,10,0,7,3,2,0,0,0
cuadro 20,1990-1999,447,351,52,5,19,15,5,0,0,0
cuadro 20,2000-2009,1032,839,123,13,39,9,8,1,0,0
cuadro 20,2010-2019,1429,1132,153,94,36,12,2,0,0,0
cuadro 20,2020-2029,1900,1403,232,204,45,6,10,0,0,0
cuadro 20,Ignorado,8122,5270,1502,903,291,99,51,2,1,3
