hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4
cuadro 62,Cuadro 62,,,,
cuadro 62,"Fallecidos en accidentes de tránsito ocurridos en el municipio de Guatemala, por sexo, según zona de ocurrencia.",,,,
cuadro 62,Año 2024.,,,,
cuadro 62,Zona de ocurrencia,Total,Sexo,,
cuadro 62,,,Hombre,Mujer,Ignorado
cuadro 62,Total,273,240,31,2
cuadro 62,1,17,15,2,0
cuadro 62,2,6,4,2,0
cuadro 62,3,7,7,0,0
cuadro 62,4,3,3,0,0
cuadro 62,5,12,12,0,0
cuadro 62,6,16,13,3,0
cuadro 62,7,28,25,3,0
cuadro 62,8,8,7,1,0
cuadro 62,9,15,13,2,0
cuadro 62,10,12,11,1,0
cuadro 62,11,20,18,2,0
cuadro 62,12,43,37,6,0
cuadro 62,13,11,11,0,0
cuadro 62,14,3,3,0,0
cuadro 62,15,4,4,0,0
cuadro 62,16,5,4,1,0
cuadro 62,17,16,15,1,0
cuadro 62,18,37,30,5,2
cuadro 62,19,2,2,0,0
cuadro 62,21,4,3,1,0
cuadro 62,25,3,3,0,0
cuadro 62,Ignorado,1,0,1,0
