hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 24,Cuadro 24,,,,,,,,
cuadro 24,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por día de la semana, según condición del conductor y sexo.",,,,,,,,
cuadro 24,Año 2024.,,,,,,,,
cuadro 24,Condición del conductor y sexo,Total,Día de la semana,,,,,,
cuadro 24,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 24,Total,13045,1761,1525,1460,1549,1861,2478,2411
cuadro 24,Hombres,11751,1569,1375,1302,1386,1669,2261,2189
cuadro 24,Mujeres,983,147,117,119,129,142,161,168
cuadro 24,Ignorado,311,45,33,39,34,50,56,54
cuadro 24,No ebrio,505,48,61,48,100,75,106,67
cuadro 24,Hombres,444,47,53,43,85,66,92,58
cuadro 24,Mujeres,60,1,8,5,15,8,14,9
cuadro 24,Ignorado,1,0,0,0,0,1,0,0
cuadro 24,Ebrio,495,62,42,44,41,66,115,125
cuadro 24,Hombres,478,60,41,41,40,65,112,119
cuadro 24,Mujeres,17,2,1,3,1,1,3,6
cuadro 24,Ignorado,12045,1651,1422,1368,1408,1720,2257,2219
cuadro 24,Hombres,10829,1462,1281,1218,1261,1538,2057,2012
cuadro 24,Mujeres,906,144,108,111,113,133,144,153
cuadro 24,Ignorado,310,45,33,39,34,49,56,54
