hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 33,Cuadro 33,,,,,,,,
cuadro 33,"Lesionados en accidentes de tránsito ocurridos en la República de Guatemala, por día de la semana, según departamento.",,,,,,,,
cuadro 33,Año 2024.,,,,,,,,
cuadro 33,Departamento,Total,Día de la semana,,,,,,
cuadro 33,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 33,Total,8907,1251,1036,975,1038,1215,1691,1701
cuadro 33,Guatemala,3516,449,399,386,429,507,668,678
cuadro 33,El Progreso,214,30,22,18,25,26,48,45
cuadro 33,Sacatepéquez,384,65,53,41,49,39,71,66
cuadro 33,Chimaltenango,215,33,23,28,20,16,47,48
cuadro 33,Escuintla,1253,189,159,129,151,149,213,263
cuadro 33,Santa Rosa,242,38,29,11,38,29,53,44
cuadro 33,Sololá,100,15,17,9,12,9,12,26
cuadro 33,Totonicapán,88,5,11,10,11,13,26,12
cuadro 33,Quetzaltenango,240,42,30,21,27,38,37,45
cuadro 33,Suchitepéquez,231,27,10,28,40,35,68,23
cuadro 33,Retalhuleu,199,48,29,14,13,26,36,33
cuadro 33,San Marcos,165,23,13,18,9,32,42,28
cuadro 33,Huehuetenango,122,15,19,13,11,10,28,26
cuadro 33,Quiché,200,32,34,20,23,49,23,19
cuadro 33,Baja Verapaz,189,24,14,26,23,44,34,24
cuadro 33,Alta Verapaz,434,52,52,64,27,71,86,82
cuadro 33,Petén,194,25,13,28,18,15,46,49
cuadro 33,Izabal,290,62,24,21,32,41,47,63
cuadro 33,Zacapa,135,15,36,25,11,17,16,15
cuadro 33,Chiquimula,150,20,15,17,21,11,25,41
cuadro 33,Jalapa,113,14,10,13,20,14,18,24
cuadro 33,Jutiapa,233,28,24,35,28,24,47,47
