hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
cuadro 19,Cuadro 19,,,,,,,,,,
cuadro 19,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por tipo de accidente, según color de vehículo.",,,,,,,,,,
cuadro 19,Año 2024.,,,,,,,,,,
cuadro 19,Color de vehículo,Total,Tipo de accidente,,,,,,,,
cuadro 19,,,Colisión,Atropello,Derrape,Choque,Vuelco,Embarrancó,Caída,Encunetó,Ignorado
cuadro 19,Total,13045,9087,2073,1219,437,144,78,1,3,3
cuadro 19,Negro,2374,1752,242,291,66,12,11,0,0,0
cuadro 19,Blanco,1696,1293,218,70,71,37,7,0,0,0
cuadro 19,Rojo,1653,1188,185,189,64,15,11,0,1,0
cuadro 19,Gris,1396,1138,118,65,52,12,9,0,2,0
cuadro 19,Azul,1058,782,136,79,43,12,6,0,0,0
cuadro 19,Verde,300,244,25,8,13,9,1,0,0,0
cuadro 19,Corinto,197,144,27,7,13,3,3,0,0,0
cuadro 19,Amarillo,169,126,23,11,4,5,0,0,0,0
cuadro 19,Beige,122,109,8,0,3,2,0,0,0,0
cuadro 19,Café,77,60,10,3,4,0,0,0,0,0
cuadro 19,Anaranjado,68,48,11,6,2,1,0,0,0,0
cuadro 19,Celeste,58,46,6,1,3,0,2,0,0,0
cuadro 19,Morado,25,19,1,1,2,1,1,0,0,0
cuadro 19,Rosado,6,5,0,0,1,0,0,0,0,0
cuadro 19,Turquesa,6,3,2,0,0,1,0,0,0,0
cuadro 19,Ignorado,3840,2130,1061,488,96,34,27,1,0,3
