hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
cuadro 32,Cuadro 32,,,,,,,,,,,,,
cuadro 32,"Lesionados en accidentes de tránsito ocurridos en la República de Guatemala, por mes, según departamento.",,,,,,,,,,,,,
cuadro 32,Año 2024.,,,,,,,,,,,,,
cuadro 32,Departamento,Total,Mes de ocurrencia,,,,,,,,,,,
cuadro 32,,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
cuadro 32,Total,8907,671,721,840,686,717,526,672,700,737,832,893,912
cuadro 32,Guatemala,3516,277,292,315,278,268,228,286,269,260,320,357,366
cuadro 32,El Progreso,214,12,11,25,20,14,21,13,20,13,21,22,22
cuadro 32,Sacatepéquez,384,34,24,26,31,13,19,35,39,57,38,30,38
cuadro 32,Chimaltenango,215,14,24,15,9,22,7,10,16,17,27,37,17
cuadro 32,Escuintla,1253,78,109,159,107,103,61,74,105,101,98,130,128
cuadro 32,Santa Rosa,242,28,23,30,28,20,11,9,14,18,23,9,29
cuadro 32,Sololá,100,13,1,4,7,7,2,9,15,6,6,8,22
cuadro 32,Totonicapán,88,4,1,14,1,5,3,11,8,7,17,10,7
cuadro 32,Quetzaltenango,240,15,16,17,12,12,20,26,17,25,18,46,16
cuadro 32,Suchitepéquez,231,14,18,22,16,20,10,18,12,16,39,32,14
cuadro 32,Retalhuleu,199,12,27,19,13,15,11,13,20,10,20,9,30
cuadro 32,San Marcos,165,10,10,10,7,12,6,14,8,31,19,14,24
cuadro 32,Huehuetenango,122,4,12,12,10,15,11,7,14,16,6,4,11
cuadro 32,Quiché,200,26,10,15,14,38,6,18,18,17,11,7,20
cuadro 32,Baja Verapaz,189,16,17,6,17,17,15,21,6,9,9,28,28
cuadro 32,Alta Verapaz,434,26,42,47,33,49,30,32,29,33,27,53,33
cuadro 32,Petén,194,14,9,20,13,6,19,12,14,25,30,20,12
cuadro 32,Izabal,290,15,16,29,18,24,23,25,18,38,42,18,24
cuadro 32,Zacapa,135,4,13,7,32,15,1,5,16,2,10,8,22
cuadro 32,Chiquimula,150,10,19,3,3,8,7,20,13,15,22,11,19
cuadro 32,Jalapa,113,18,13,14,6,12,4,7,5,7,11,12,4
cuadro 32,Jutiapa,233,27,14,31,11,22,11,7,24,14,18,28,26
