hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
cuadro 26,Cuadro 26,,,,,,,,,,,,,,,
cuadro 26,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por sexo y condición del conductor, según grupos de edad.",,,,,,,,,,,,,,,
cuadro 26,Año 2024.,,,,,,,,,,,,,,,
cuadro 26,Grupos de edad,Total,Hombres,Mujeres,Ignorado,Condición del conductor,,,,,,,,,,
cuadro 26,,,,,,No ebrio,,,,Ebrio,,,Ignorado,,,
cuadro 26,,,,,,Total,Hombre,Mujer,Ignorado,Total,Hombre,Mujer,Total,Hombre,Mujer,Ignorado
cuadro 26,Total,13045,11751,983,311,505,444,60,1,495,478,17,12045,10829,906,310
cuadro 26,Menor de 15,59,50,9,0,2,1,1,0,0,0,0,57,49,8,0
cuadro 26,15 - 19,986,906,79,1,37,32,5,0,26,25,1,923,849,73,1
cuadro 26,20 - 24,1955,1797,157,1,88,74,14,0,102,101,1,1765,1622,142,1
cuadro 26,25 - 29,1785,1608,177,0,84,76,8,0,98,95,3,1603,1437,166,0
cuadro 26,30 - 34,1489,1331,157,1,56,45,11,0,92,87,5,1341,1199,141,1
cuadro 26,35 - 39,1049,949,99,1,54,48,6,0,50,48,2,945,853,91,1
cuadro 26,40 - 44,850,773,77,0,37,31,6,0,48,47,1,765,695,70,0
cuadro 26,45 - 49,617,548,69,0,33,29,4,0,28,26,2,556,493,63,0
cuadro 26,50 - 54,428,404,24,0,28,27,1,0,13,13,0,387,364,23,0
cuadro 26,55 - 59,260,238,22,0,19,17,2,0,5,5,0,236,216,20,0
cuadro 26,60 - 64,197,184,13,0,7,6,1,0,7,7,0,183,171,12,0
cuadro 26,65 - 69,125,116,9,0,7,7,0,0,4,4,0,114,105,9,0
cuadro 26,70 - 74,57,55,2,0,6,6,0,0,2,2,0,49,47,2,0
cuadro 26,75 - 79,25,23,2,0,1,1,0,0,0,0,0,24,22,2,0
cuadro 26,80 y más,9,9,0,0,0,0,0,0,0,0,0,9,9,0,0
cuadro 26,Ignorado,3154,2760,87,307,46,44,1,1,20,18,2,3088,2698,84,306
