hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
cuadro 10,Cuadro 10,,,,,,,,,,
cuadro 10,"Accidentes de tránsito ocurridos en la República de Guatemala, por tipo de accidente, según día de ocurrencia.",,,,,,,,,,
cuadro 10,Año 2024.,,,,,,,,,,
cuadro 10,Día de ocurrencia,Total,Tipo de accidente,,,,,,,,
cuadro 10,,,Colisión,Atropello,Derrape,Choque,Vuelco,Embarrancó,Encunetó,Caída,Ignorado
cuadro 10,Total,8401,4513,2073,1192,401,143,73,3,1,2
cuadro 10,1,321,166,71,59,13,6,5,0,0,1
cuadro 10,2,301,159,76,45,14,5,2,0,0,0
cuadro 10,3,275,160,57,41,9,5,3,0,0,0
cuadro 10,4,249,130,57,37,13,11,1,0,0,0
cuadro 10,5,267,141,61,43,13,8,1,0,0,0
cuadro 10,6,290,167,62,44,11,3,3,0,0,0
cuadro 10,7,269,161,66,28,9,4,1,0,0,0
cuadro 10,8,267,141,78,25,18,2,3,0,0,0
cuadro 10,9,254,143,58,34,10,7,2,0,0,0
cuadro 10,10,265,141,75,22,16,5,6,0,0,0
cuadro 10,11,268,145,66,37,12,5,2,0,0,1
cuadro 10,12,281,143,79,46,6,5,2,0,0,0
cuadro 10,13,310,165,80,46,12,5,2,0,0,0
cuadro 10,14,300,166,75,38,15,2,4,0,0,0
cuadro 10,15,260,133,77,34,9,5,2,0,0,0
cuadro 10,16,291,150,68,54,10,3,6,0,0,0
cuadro 10,17,253,130,66,36,13,4,3,1,0,0
cuadro 10,18,293,169,66,38,14,4,2,0,0,0
cuadro 10,19,228,105,58,40,19,3,2,1,0,0
cuadro 10,20,259,128,72,38,13,5,2,1,0,0
cuadro 10,21,304,172,70,39,17,4,2,0,0,0
cuadro 10,22,278,161,50,47,14,3,3,0,0,0
cuadro 10,23,214,120,46,32,10,5,1,0,0,0
cuadro 10,24,304,174,70,35,18,5,2,0,0,0
cuadro 10,25,286,152,70,46,9,4,4,0,1,0
cuadro 10,26,250,132,68,28,15,7,0,0,0,0
cuadro 10,27,311,178,75,39,13,6,0,0,0,0
cuadro 10,28,277,142,82,37,14,2,0,0,0,0
cuadro 10,29,272,139,64,49,15,4,1,0,0,0
cuadro 10,30,241,124,57,34,19,4,3,0,0,0
cuadro 10,31,163,76,53,21,8,2,3,0,0,0
