hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5
cuadro 29,Cuadro 29,,,,,
cuadro 29,"Víctimas por accidentes de tránsito ocurridos en la República de Guatemala por año, según departamento.",,,,,
cuadro 29,Serie histórica 2020 - 2024.,,,,,
cuadro 29,Departamento,Año de ocurrencia,,,,
cuadro 29,,2020,2021,2022,2023,2024
cuadro 29,Total,8142,10544,10722,11198,11274
cuadro 29,Guatemala,3025,3982,3947,4074,4092
cuadro 29,El Progreso,198,253,265,276,276
cuadro 29,Sacatepéquez,262,336,466,468,478
cuadro 29,Chimaltenango,316,372,403,372,349
cuadro 29,Escuintla,659,896,1041,1322,1549
cuadro 29,Santa Rosa,283,333,380,442,338
cuadro 29,Sololá,101,177,93,139,126
cuadro 29,Totonicapán,74,79,113,107,102
cuadro 29,Quetzaltenango,240,296,364,392,311
cuadro 29,Suchitepéquez,256,293,265,287,315
cuadro 29,Retalhuleu,255,284,285,289,254
cuadro 29,San Marcos,188,217,197,287,216
cuadro 29,Huehuetenango,173,196,205,193,166
cuadro 29,Quiché,172,302,275,250,258
cuadro 29,Baja Verapaz,165,183,250,218,236
cuadro 29,Alta Verapaz,400,607,518,468,558
cuadro 29,Petén,293,368,331,384,351
cuadro 29,Izabal,294,332,327,347,426
cuadro 29,Zacapa,197,242,199,177,199
cuadro 29,Chiquimula,205,261,236,179,195
cuadro 29,Jalapa,162,209,205,180,157
cuadro 29,Jutiapa,224,326,357,347,322
