hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
cuadro 44,Cuadro 44,,,,,,,,,,,,,,,,,
cuadro 44,"Lesionados en accidentes de tránsito ocurridos en el municipio de Guatemala, por grupos de edad, según zona de ocurrencia.",,,,,,,,,,,,,,,,,
cuadro 44,Año 2024.,,,,,,,,,,,,,,,,,
cuadro 44,Zona de ocurrencia,Total,Grupos de edad,,,,,,,,,,,,,,,
cuadro 44,,,Menor de 15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 y más,Ignorado
cuadro 44,Total,1769,63,148,339,268,250,146,121,65,51,34,23,20,19,17,17,188
cuadro 44,1,222,9,23,41,36,29,15,15,10,5,5,2,4,2,2,4,20
cuadro 44,2,37,0,3,7,5,10,2,1,3,1,0,3,0,0,1,0,1
cuadro 44,3,66,1,5,15,6,8,4,9,5,4,2,2,1,0,1,1,2
cuadro 44,4,24,3,2,3,5,6,3,2,0,0,0,0,0,0,0,0,0
cuadro 44,5,56,3,1,5,15,10,5,3,2,1,2,0,0,1,0,1,7
cuadro 44,6,112,7,11,20,18,13,6,6,3,6,3,3,0,4,3,0,9
cuadro 44,7,248,13,25,51,40,19,26,19,11,7,3,2,4,3,1,1,23
cuadro 44,8,20,1,0,3,4,9,0,0,1,1,0,0,0,0,1,0,0
cuadro 44,9,84,1,5,18,20,12,9,8,1,1,2,1,1,1,1,1,2
cuadro 44,10,87,0,6,24,15,16,7,2,5,0,2,2,2,0,0,0,6
cuadro 44,11,102,2,5,27,14,20,5,7,3,2,3,1,0,0,0,0,13
cuadro 44,12,272,2,30,48,40,40,22,19,8,9,1,4,0,2,1,0,46
cuadro 44,13,104,2,3,17,22,14,14,7,5,4,4,0,0,1,0,1,10
cuadro 44,14,7,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2
cuadro 44,15,28,0,3,7,4,2,3,1,1,0,1,0,0,0,1,1,4
cuadro 44,16,25,3,0,9,2,2,3,0,0,0,0,0,2,0,1,1,2
cuadro 44,17,32,2,3,7,0,5,1,2,1,0,0,0,1,0,0,1,9
cuadro 44,18,167,10,13,29,17,20,16,12,4,6,4,2,5,4,2,2,21
cuadro 44,19,15,0,2,2,1,1,0,1,0,1,0,0,0,0,1,1,5
cuadro 44,21,38,2,3,3,2,8,4,4,2,1,2,1,0,1,0,2,3
cuadro 44,24,4,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
cuadro 44,25,9,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,1
cuadro 44,Ignorada,10,0,1,1,2,1,0,3,0,0,0,0,0,0,0,0,2
