hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 13,Cuadro 13,,,,,,,,
cuadro 13,"Accidentes de tránsito ocurridos por atropello en la República de Guatemala, por día de la semana, según mes.",,,,,,,,
cuadro 13,Año 2024.,,,,,,,,
cuadro 13,Mes de ocurrencia,Total,Día de la semana,,,,,,
cuadro 13,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 13,Total,2073,272,258,228,241,295,377,402
cuadro 13,Enero,167,24,22,21,24,18,24,34
cuadro 13,Febrero,203,28,34,23,33,24,35,26
cuadro 13,Marzo,205,24,27,19,17,39,31,48
cuadro 13,Abril,155,29,20,21,17,18,26,24
cuadro 13,Mayo,134,19,15,11,12,29,20,28
cuadro 13,Junio,140,14,17,13,15,16,29,36
cuadro 13,Julio,187,28,22,22,29,23,29,34
cuadro 13,Agosto,150,13,18,18,19,27,27,28
cuadro 13,Septiembre,166,19,19,14,15,25,33,41
cuadro 13,Octubre,174,21,17,20,21,19,45,31
cuadro 13,Noviembre,182,19,17,24,18,32,38,34
cuadro 13,Diciembre,210,34,30,22,21,25,40,38
