hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4
cuadro 38,Cuadro 38,,,,
cuadro 38,"Lesionados en accidentes de tránsito ocurridos en la República de Guatemala, por sexo, según grupos de edad.",,,,
cuadro 38,Año 2024.,,,,
cuadro 38,Grupos de edad,Total,Sexo,,
cuadro 38,,,Hombre,Mujer,Ignorado
cuadro 38,Total,8907,6446,2445,16
cuadro 38,Menor de 15,718,420,296,2
cuadro 38,15-19,1027,784,243,0
cuadro 38,20-24,1572,1197,374,1
cuadro 38,25-29,1191,904,285,2
cuadro 38,30-34,904,672,232,0
cuadro 38,35-39,658,473,185,0
cuadro 38,40-44,511,360,151,0
cuadro 38,45-49,337,231,105,1
cuadro 38,50-54,282,189,93,0
cuadro 38,55-59,157,112,45,0
cuadro 38,60-64,147,95,52,0
cuadro 38,65-69,117,71,46,0
cuadro 38,70-74,85,58,27,0
cuadro 38,75-79,70,43,27,0
cuadro 38,80 y más,54,32,22,0
cuadro 38,Ignorado,1077,805,262,10
