hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 51,Cuadro 51,,,,,,,,
cuadro 51,"Fallecidos en accidentes de tránsito ocurridos en la República de Guatemala, por día de la semana, según hora.",,,,,,,,
cuadro 51,Año 2024.,,,,,,,,
cuadro 51,Hora de ocurrencia,Total,Día de la semana,,,,,,
cuadro 51,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 51,Total,2365,303,249,248,256,350,459,500
cuadro 51,00:00 a 00:59,181,27,16,12,14,23,49,40
cuadro 51,01:00 a 01:59,119,15,6,14,9,9,26,40
cuadro 51,02:00 a 02:59,87,8,7,9,6,10,21,26
cuadro 51,03:00 a 03:59,59,6,5,4,4,12,9,19
cuadro 51,04:00 a 04:59,43,3,3,3,5,9,8,12
cuadro 51,05:00 a 05:59,72,13,3,5,7,11,15,18
cuadro 51,06:00 a 06:59,110,13,12,15,13,14,17,26
cuadro 51,07:00 a 07:59,103,20,18,15,8,14,14,14
cuadro 51,08:00 a 08:59,75,12,11,9,12,14,9,8
cuadro 51,09:00 a 09:59,60,14,5,9,9,9,7,7
cuadro 51,10:00 a 10:59,65,13,3,6,10,11,9,13
cuadro 51,11:00 a 11:59,59,8,8,6,14,3,11,9
cuadro 51,12:00 a 12:59,62,9,7,8,6,15,9,8
cuadro 51,13:00 a 13:59,60,8,10,9,11,8,5,9
cuadro 51,14:00 a 14:59,81,7,10,10,15,16,9,14
cuadro 51,15:00 a 15:59,87,11,8,9,8,12,12,27
cuadro 51,16:00 a 16:59,85,10,11,11,12,11,18,12
cuadro 51,17:00 a 17:59,105,16,16,6,4,10,21,32
cuadro 51,18:00 a 18:59,118,15,21,9,17,10,23,23
cuadro 51,19:00 a 19:59,163,20,24,15,9,15,42,38
cuadro 51,20:00 a 20:59,183,24,14,18,17,27,39,44
cuadro 51,21:00 a 21:59,142,14,13,19,16,28,28,24
cuadro 51,22:00 a 22:59,108,4,7,11,14,21,34,17
cuadro 51,23:00 a 23:59,138,13,11,16,16,38,24,20
