hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
cuadro 23,Cuadro 23,,,,,,,,,,,,,,,
cuadro 23,"Cantidad de vehículos involucrados en accidentes de tránsito ocurridos en la República de Guatemala, por sexo y condición del conductor, según mes.",,,,,,,,,,,,,,,
cuadro 23,Año 2024.,,,,,,,,,,,,,,,
cuadro 23,Mes de ocurrencia,Total,Hombre,Mujer,Ignorado,Condición del conductor,,,,,,,,,,
cuadro 23,,,,,,No ebrio,,,,Ebrio,,,Ignorado,,,
cuadro 23,,,,,,Total ,Hombre,Mujer,Ignorado,Total ,Hombre,Mujer,Total,Hombre,Mujer,Ignorado
cuadro 23,Total,13045,11751,983,311,505,444,60,1,495,478,17,12045,10829,906,310
cuadro 23,Enero,950,843,72,35,73,64,9,0,38,35,3,839,744,60,35
cuadro 23,Febrero,1086,962,89,35,60,58,2,0,45,44,1,981,860,86,35
cuadro 23,Marzo,1194,1072,102,20,47,40,6,1,54,54,0,1093,978,96,19
cuadro 23,Abril,983,899,83,1,68,55,13,0,47,46,1,868,798,69,1
cuadro 23,Mayo,1060,853,70,137,10,10,0,0,59,58,1,991,785,69,137
cuadro 23,Junio,852,712,67,73,18,16,2,0,25,25,0,809,671,65,73
cuadro 23,Julio,1069,995,74,0,2,2,0,0,33,31,2,1034,962,72,0
cuadro 23,Agosto,1075,980,93,2,0,0,0,0,15,15,0,1060,965,93,2
cuadro 23,Septiembre,1039,955,82,2,9,9,0,0,29,28,1,1001,918,81,2
cuadro 23,Octubre,1187,1104,80,3,94,85,9,0,68,65,3,1025,954,68,3
cuadro 23,Noviembre,1225,1132,91,2,50,38,12,0,43,41,2,1132,1053,77,2
cuadro 23,Diciembre,1325,1244,80,1,74,67,7,0,39,36,3,1212,1141,70,1
