hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 53,Cuadro 53,,,,,,,,
cuadro 53,"Fallecidos en accidentes de tránsito ocurridos en la República de Guatemala, por día de la semana, según tipo de accidente y sexo.",,,,,,,,
cuadro 53,Año 2024.,,,,,,,,
cuadro 53,Tipo de accidente y sexo,Total,Día de la semana,,,,,,
cuadro 53,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 53,Total,2365,303,249,248,256,350,459,500
cuadro 53,Hombre,2021,254,211,192,212,308,415,429
cuadro 53,Mujer,327,45,36,52,44,42,44,64
cuadro 53,Ignorado,17,4,2,4,0,0,0,7
cuadro 53,Colisión,930,122,112,98,117,144,166,171
cuadro 53,Hombre,782,99,90,74,91,130,150,148
cuadro 53,Mujer,148,23,22,24,26,14,16,23
cuadro 53,Atropello,629,79,65,72,63,98,108,144
cuadro 53,Hombre,526,64,52,54,53,81,98,124
cuadro 53,Mujer,86,11,11,14,10,17,10,13
cuadro 53,Ignorado,17,4,2,4,0,0,0,7
cuadro 53,Derrape,428,57,28,34,34,59,119,97
cuadro 53,Hombre,398,53,26,29,33,54,111,92
cuadro 53,Mujer,30,4,2,5,1,5,8,5
cuadro 53,Choque,133,20,16,9,18,19,24,27
cuadro 53,Hombre,115,18,16,9,15,15,20,22
cuadro 53,Mujer,18,2,0,0,3,4,4,5
cuadro 53,Embarrancó,95,5,7,21,10,17,16,19
cuadro 53,Hombre,75,3,6,14,9,15,13,15
cuadro 53,Mujer,20,2,1,7,1,2,3,4
cuadro 53,Vuelco,76,7,13,5,5,8,11,27
cuadro 53,Hombre,61,6,13,4,3,8,11,16
cuadro 53,Mujer,15,1,0,1,2,0,0,11
cuadro 53,Encunetó,1,0,0,0,0,0,1,0
cuadro 53,Hombre,1,0,0,0,0,0,1,0
cuadro 53,Ignorado,73,13,8,9,9,5,14,15
cuadro 53,Hombre,63,11,8,8,8,5,11,12
cuadro 53,Mujer,10,2,0,1,1,0,3,3
