hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
cuadro 41,Cuadro 41,,,,,,,,,,,,,,,,,
cuadro 41,"Lesionados por atropello en accidentes de tránsito ocurridos en la República de Guatemala, por grupos de edad, según departamento.",,,,,,,,,,,,,,,,,
cuadro 41,Año 2024.,,,,,,,,,,,,,,,,,
cuadro 41,Departamento,Total,Grupos de edad,,,,,,,,,,,,,,,
cuadro 41,,,Menor de 15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 y más,Ignorado
cuadro 41,Total,1495,189,123,174,119,116,112,95,70,66,51,53,51,50,38,40,148
cuadro 41,Guatemala,715,67,53,85,61,71,61,45,35,34,26,31,19,24,18,21,64
cuadro 41,El Progreso,17,1,1,2,2,0,1,2,2,0,0,0,2,1,0,0,3
cuadro 41,Sacatepéquez,58,9,9,8,2,3,7,2,3,0,2,0,1,4,0,1,7
cuadro 41,Chimaltenango,50,8,3,3,6,4,5,1,3,4,5,3,1,0,0,1,3
cuadro 41,Escuintla,174,23,21,25,14,8,14,9,6,9,4,7,5,6,3,2,18
cuadro 41,Santa Rosa,40,5,2,5,2,3,4,4,3,0,0,2,1,1,2,0,6
cuadro 41,Sololá,18,4,1,2,0,1,0,0,3,1,1,0,1,2,0,1,1
cuadro 41,Totonicapán,13,2,2,1,0,1,3,1,0,0,0,1,1,0,0,0,1
cuadro 41,Quetzaltenango,25,1,1,2,2,3,2,2,2,0,1,2,0,0,0,0,7
cuadro 41,Suchitepéquez,42,7,5,4,5,4,2,1,2,2,1,1,1,0,1,3,3
cuadro 41,Retalhuleu,24,8,2,4,2,1,0,1,0,2,0,0,0,1,1,0,2
cuadro 41,San Marcos,17,2,4,0,0,2,0,0,0,1,1,0,2,3,1,0,1
cuadro 41,Huehuetenango,17,2,1,1,0,1,1,0,0,1,2,1,2,1,1,1,2
cuadro 41,Quiché,31,3,2,5,1,0,2,5,3,2,1,0,2,0,0,0,5
cuadro 41,Baja Verapaz,33,9,4,1,3,0,2,1,1,1,2,2,2,0,3,2,0
cuadro 41,Alta Verapaz,94,22,5,8,6,6,4,10,5,1,3,2,2,4,4,3,9
cuadro 41,Petén,28,4,0,1,4,3,1,1,1,2,1,0,0,2,1,2,5
cuadro 41,Izabal,35,2,2,5,5,1,2,4,0,3,0,0,5,0,1,1,4
cuadro 41,Zacapa,7,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,1
cuadro 41,Chiquimula,6,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1
cuadro 41,Jalapa,17,1,1,2,0,1,1,2,0,0,1,0,1,1,1,1,4
cuadro 41,Jutiapa,34,9,4,7,3,2,0,4,1,1,0,0,1,0,1,0,1
