hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5
cuadro 4,Cuadro 4,,,,,
cuadro 4,"Accidentes de tránsito ocurridos en la República de Guatemala, por año, según mes.",,,,,
cuadro 4,Serie histórica 2020 - 2024.,,,,,
cuadro 4,Mes de ocurrencia,Año de ocurrencia,,,,
cuadro 4,,2020,2021,2022,2023,2024
cuadro 4,Total,6350,8153,7924,8218,8401
cuadro 4,Enero,610,695,714,696,626
cuadro 4,Febrero,670,626,614,683,711
cuadro 4,Marzo,590,657,727,635,780
cuadro 4,Abril,329,644,632,938,630
cuadro 4,Mayo,374,701,671,696,674
cuadro 4,Junio,372,625,554,647,549
cuadro 4,Julio,405,614,683,640,703
cuadro 4,Agosto,571,643,624,605,687
cuadro 4,Septiembre,495,648,612,615,686
cuadro 4,Octubre,591,691,628,615,747
cuadro 4,Noviembre,626,738,719,614,768
cuadro 4,Diciembre,717,871,746,834,840
