hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8
cuadro 61,Cuadro 61,,,,,,,,
cuadro 61,"Fallecidos en accidentes de tránsito ocurridos en el municipio de Guatemala, por día de la semana, según zona de ocurrencia.",,,,,,,,
cuadro 61,Año 2024.,,,,,,,,
cuadro 61,Zona de ocurrencia,Total,Día de la semana,,,,,,
cuadro 61,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
cuadro 61,Total,273,33,23,29,29,52,65,42
cuadro 61,1,17,2,3,0,0,5,3,4
cuadro 61,2,6,1,0,2,0,1,2,0
cuadro 61,3,7,0,0,1,1,1,1,3
cuadro 61,4,3,0,1,0,1,0,0,1
cuadro 61,5,12,2,0,0,1,3,4,2
cuadro 61,6,16,2,4,1,0,1,3,5
cuadro 61,7,28,6,0,4,2,8,2,6
cuadro 61,8,8,1,1,1,0,0,3,2
cuadro 61,9,15,2,1,1,4,3,3,1
cuadro 61,10,12,1,1,4,2,4,0,0
cuadro 61,11,20,1,2,3,4,7,2,1
cuadro 61,12,43,5,0,6,3,8,15,6
cuadro 61,13,11,0,1,0,1,2,5,2
cuadro 61,14,3,0,0,0,1,1,1,0
cuadro 61,15,4,0,1,1,0,0,2,0
cuadro 61,16,5,0,1,1,0,1,2,0
cuadro 61,17,16,1,4,0,1,1,7,2
cuadro 61,18,37,6,2,4,8,2,9,6
cuadro 61,19,2,1,0,0,0,1,0,0
cuadro 61,21,4,1,0,0,0,2,0,1
cuadro 61,25,3,1,0,0,0,1,1,0
cuadro 61,Ignorado,1,0,1,0,0,0,0,0
