hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4
cuadro 43,Cuadro 43,,,,
cuadro 43,"Lesionados por atropello en accidentes de tránsito ocurridos en la República de Guatemala, por sexo, según tipo de vehículo.",,,,
cuadro 43,Año 2024.,,,,
cuadro 43,Tipo de vehículo,Total,Sexo,,
cuadro 43,,,Hombre,Mujer,Ignorado
cuadro 43,Total,1495,986,499,10
cuadro 43,Motocicleta,673,405,266,2
cuadro 43,Automóvil,379,279,94,6
cuadro 43,Camioneta,103,66,37,0
cuadro 43,Pick Up,101,69,32,0
cuadro 43,Camión,48,31,16,1
cuadro 43,Bus Urbano,38,23,15,0
cuadro 43,Cabezal,23,17,6,0
cuadro 43,Moto Taxi,14,11,3,0
cuadro 43,Microbús,14,7,7,0
cuadro 43,Cuatrimoto,5,4,1,0
cuadro 43,Bicicleta,5,5,0,0
cuadro 43,Panel,3,2,1,0
cuadro 43,Jeep,3,1,2,0
cuadro 43,Montacargas,1,1,0,0
cuadro 43,Taxi,1,0,1,0
cuadro 43,Bus Extraurbano,1,1,0,0
cuadro 43,Ignorado,83,64,18,1
