hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4
cuadro 59,Cuadro 59,,,,
cuadro 59,"Fallecidos por atropello en accidentes de tránsito ocurridos en la República de Guatemala, por sexo, según tipo de vehículo.",,,,
cuadro 59,Año 2024.,,,,
cuadro 59,Tipo de vehículo,Total,Sexo,,
cuadro 59,,,Hombre,Mujer,Ignorado
cuadro 59,Total,629,526,86,17
cuadro 59,Automóvil,244,213,25,6
cuadro 59,Motocicleta,85,65,17,3
cuadro 59,Pick Up,60,52,7,1
cuadro 59,Camión,52,35,16,1
cuadro 59,Cabezal,29,24,3,2
cuadro 59,Camioneta,24,22,2,0
cuadro 59,Bus Urbano,21,13,7,1
cuadro 59,Moto Taxi,5,5,0,0
cuadro 59,Microbús,4,2,2,0
cuadro 59,Cuatrimoto,3,2,1,0
cuadro 59,Bicicleta,1,0,1,0
cuadro 59,Furgón,1,1,0,0
cuadro 59,Tractor,1,1,0,0
cuadro 59,Panel,1,1,0,0
cuadro 59,Ignorado,98,90,5,3
