hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
cuadro 60,Cuadro 60,,,,,,,,,,,,,,,,,
cuadro 60,"Fallecidos en accidentes de tránsito ocurridos en el municipio de Guatemala, por grupos de edad, según zona de ocurrencia.",,,,,,,,,,,,,,,,,
cuadro 60,Año 2024.,,,,,,,,,,,,,,,,,
cuadro 60,Zona de ocurrencia,Total,Grupos de edad,,,,,,,,,,,,,,,
cuadro 60,,,Menor de 15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 y más,Ignorado
cuadro 60,Total,273,1,10,32,45,35,32,21,14,9,12,7,2,1,2,5,45
cuadro 60,1,17,0,0,1,5,1,2,0,1,1,1,0,1,0,0,1,3
cuadro 60,2,6,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0
cuadro 60,3,7,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0
cuadro 60,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
cuadro 60,5,12,0,1,2,3,2,1,0,0,0,1,0,0,0,0,0,2
cuadro 60,6,16,0,1,1,2,1,2,1,1,0,3,0,0,0,0,1,3
cuadro 60,7,28,0,0,3,2,8,2,4,1,3,1,1,0,0,0,0,3
cuadro 60,8,8,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,2
cuadro 60,9,15,0,0,1,2,2,6,1,1,0,0,0,0,0,1,0,1
cuadro 60,10,12,0,0,1,5,0,2,0,0,1,0,0,0,0,0,1,2
cuadro 60,11,20,0,0,3,4,2,2,4,1,0,1,2,0,0,0,0,1
cuadro 60,12,43,0,1,4,4,5,5,4,2,0,1,0,1,1,0,0,15
cuadro 60,13,11,0,0,2,2,1,1,0,1,1,1,0,0,0,0,0,2
cuadro 60,14,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
cuadro 60,15,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
cuadro 60,16,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2
cuadro 60,17,16,0,2,0,3,3,2,2,0,0,0,2,0,0,1,0,1
cuadro 60,18,37,0,3,7,4,6,2,3,4,1,2,1,0,0,0,1,3
cuadro 60,19,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
cuadro 60,21,4,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
cuadro 60,24,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cuadro 60,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
