hoja,Departamento de Estadísticas Socioeconómicas y Ambientales,col,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
cuadro 8,Cuadro 8,,,,,,,,,,
cuadro 8,"Accidentes de tránsito ocurridos en la República de Guatemala, por tipo de accidente, según departamento.",,,,,,,,,,
cuadro 8,Año 2024.,,,,,,,,,,
cuadro 8,Departamento,Total,Tipo de accidente,,,,,,,,
cuadro 8,,,Colisión,Atropello,Derrape,Choque,Vuelco,Embarrancó,Encunetó,Caída,Ignorado
cuadro 8,Total,8401,4513,2073,1192,401,143,73,3,1,2
cuadro 8,Guatemala,3408,1846,852,530,147,24,7,0,1,1
cuadro 8,El Progreso,182,113,27,19,14,6,3,0,0,0
cuadro 8,Sacatepéquez,366,201,76,64,14,4,7,0,0,0
cuadro 8,Chimaltenango,299,138,111,31,14,2,3,0,0,0
cuadro 8,Escuintla,1123,569,238,237,47,23,7,1,0,1
cuadro 8,Santa Rosa,233,133,57,28,10,4,1,0,0,0
cuadro 8,Sololá,73,32,22,3,3,8,5,0,0,0
cuadro 8,Totonicapán,49,28,9,2,3,3,4,0,0,0
cuadro 8,Quetzaltenango,218,139,49,11,11,5,3,0,0,0
cuadro 8,Suchitepéquez,194,111,52,17,12,1,1,0,0,0
cuadro 8,Retalhuleu,176,117,32,20,6,1,0,0,0,0
cuadro 8,San Marcos,144,81,31,14,11,4,3,0,0,0
cuadro 8,Huehuetenango,128,80,32,8,6,0,1,1,0,0
cuadro 8,Quiché,153,69,46,13,12,9,4,0,0,0
cuadro 8,Baja Verapaz,172,92,43,19,12,2,4,0,0,0
cuadro 8,Alta Verapaz,364,176,127,23,20,12,6,0,0,0
cuadro 8,Petén,268,109,75,58,14,10,2,0,0,0
cuadro 8,Izabal,271,147,69,30,13,9,2,1,0,0
cuadro 8,Zacapa,120,74,23,13,8,1,1,0,0,0
cuadro 8,Chiquimula,124,82,17,15,6,3,1,0,0,0
cuadro 8,Jalapa,108,56,28,13,5,3,3,0,0,0
cuadro 8,Jutiapa,228,120,57,24,13,9,5,0,0,0
